timestamp,enc1,enc2,enc3
1011086540904750,0,0,0
1011086541924550,0,0,0
1011086542944290,0,0,0
1011086543964450,0,0,0
1011086544984670,0,0,0
1011086546004630,0,0,0
1011086547025870,0,0,0
1011086548044910,0,0,0
1011086549064630,0,0,0
1011086550084470,0,0,0
1011086551104350,0,0,0
1011086552124410,0,0,0
1011086553144130,0,0,0
1011086554164450,0,0,0
1011086555184110,0,0,0
1011086556204290,0,0,0
1011086557223570,0,0,0
1011086558241970,0,0,0
1011086559260750,0,0,0
1011086560279930,0,0,0
1011086561299690,0,0,0
1011086562320350,0,0,0
1011086563340570,0,0,0
1011086564360470,0,0,0
1011086565380650,0,0,0
1011086566400490,0,0,0
1011086567421810,0,0,0
1011086568440470,0,0,0
1011086569460290,0,0,0
1011086570480490,0,0,0
1011086571500370,0,0,0
1011086572520630,0,0,0
1011086573540430,0,0,0
1011086574560410,0,0,0
1011086575580270,0,0,0
1011086576600450,0,0,0
1011086577620210,0,0,0
1011086578640050,0,0,0
1011086579660150,0,0,0
1011086580680290,0,0,0
1011086581700170,0,0,0
1011086582720090,0,0,0
1011086583740130,0,0,0
1011086584760370,0,0,0
1011086585780170,0,0,0
1011086586799930,0,0,0
1011086587821570,0,0,0
1011086588840670,0,0,0
1011086589859830,0,0,0
1011086590880070,0,0,0
1011086591899870,0,0,0
1011086592920170,0,0,0
1011086593940010,0,0,0
1011086594959870,0,0,0
1011086595980050,0,0,0
1011086596999910,0,0,0
1011086598019730,0,0,0
1011086599039970,0,0,0
1011086600059790,0,0,0
1011086601079950,0,0,0
1011086602099870,0,0,0
1011086603119630,0,0,0
1011086604139870,0,0,0
1011086605159670,0,0,0
1011086606179870,0,0,0
1011086607199830,0,0,0
1011086608220030,0,0,0
1011086609243110,0,0,0
1011086610262450,0,0,0
1011086611282330,0,0,0
1011086612302490,0,0,0
1011086613323070,0,0,0
1011086614343270,0,0,0
1011086615363170,0,0,0
1011086616383070,0,0,0
1011086617447250,0,0,0
1011086618467470,0,0,0
1011086619487350,0,0,0
1011086620507570,0,0,0
1011086621527410,0,0,0
1011086622547650,0,0,0
1011086623567490,0,0,0
1011086624587350,0,0,0
1011086625607410,0,0,0
1011086626627130,0,0,0
1011086627647450,0,0,0
1011086628668550,0,0,0
1011086629687130,0,0,0
1011086630707350,0,0,0
1011086631727250,0,0,0
1011086632747010,0,0,0
1011086633767250,0,0,0
1011086634787090,0,0,0
1011086635807410,0,0,0
1011086636827230,0,0,0
1011086637846950,0,0,0
1011086638867170,0,0,0
1011086639887070,0,0,0
1011086703123350,0,0,0
1011086704143570,0,0,0
1011086705163470,0,0,0
1011086706183630,0,0,0
1011086707203210,0,0,0
1011086708222490,0,0,0
1011086709241450,0,0,0
1011086710261670,0,0,0
1011086711284290,0,0,0
1011086712303570,0,0,0
1011086713324670,0,0,0
1011086714344570,0,0,0
1011086715364350,0,0,0
1011086716384570,0,0,0
1011086717443050,0,0,0
1011086718462770,0,0,0
1011086719483030,0,0,0
1011086720502890,0,0,0
1011086721522650,0,0,0
1011086722542790,0,0,0
1011086723562670,0,0,0
1011086724582930,0,0,0
1011086725602630,0,0,0
1011086726622870,0,0,0
1011086727642670,0,0,0
1011086729682650,0,0,0
1011086730703950,0,0,0
1011086731723010,0,0,0
1011086732742750,0,0,0
1011086733762670,0,0,0
1011086734782510,0,0,0
1011086735802710,0,0,0
1011086736822470,0,0,0
1011086737842250,0,0,0
1011086738862470,0,0,0
1011086739882350,0,0,0
1011086740902570,0,0,0
1011086741922490,0,0,0
1011086742942270,0,0,0
1011086743962470,0,0,0
1011086744982130,0,0,0
1011086746002350,0,0,0
1011086747022150,0,0,0
1011086748042250,0,0,0
1011086749062390,0,0,0
1011086750082230,0,0,0
1011086751103770,0,0,0
1011086752122290,0,0,0
1011086753142170,0,0,0
1011086754162070,0,0,0
1011086761297410,0,0,0
1011086762317690,0,0,0
1011086763338270,0,0,0
1011086764358450,0,0,0
1011086765378210,0,0,0
1011086766398410,0,0,0
1011086767418130,0,0,0
1011086768438310,0,0,0
1011086769458150,0,0,0
1011086770478450,0,0,0
1011086771499570,0,0,0
1011086772518250,0,0,0
1011086773538010,0,0,0
1011086774558250,0,0,0
1011086775578090,0,0,0
1011086776598350,0,0,0
1011086777618210,0,0,0
1011086778637990,0,0,0
1011086779658090,0,0,0
1011086780677850,0,0,0
1011086781698070,0,0,0
1011086782717970,0,0,0
1011086783738150,0,0,0
1011086784758030,0,0,0
1011086785777890,0,0,0
1011086788836650,0,0,0
1011086789856910,0,0,0
1011086790876770,0,0,0
1011086791898010,0,0,0
1011086792916990,0,0,0
1011086793936770,0,0,0
1011086794956610,0,0,0
1011086795976470,0,0,0
1011086796996650,0,0,0
1011086798016530,0,0,0
1011086799036390,0,0,0
1011086800056570,0,0,0
1011086801076450,0,0,0
1011086802096630,0,0,0
1011086803116430,0,0,0
1011086804136670,0,0,0
1011086805156510,0,0,0
1011086806176350,0,0,0
1011086807196250,0,0,0
1011086808215550,0,0,0
1011086809234290,0,0,0
1011086810253210,0,0,0
1011086811272070,0,0,0
1011086812293210,0,0,0
1011086813311790,0,0,0
1011086823567490,0,0,0
1011086824587670,0,0,0
1011086825607410,0,0,0
1011086826627550,0,0,0
1011086827647490,0,0,0
1011086828667730,0,0,0
1011086829687450,0,0,0
1011086830707670,0,0,0
1011086831727570,0,0,0
1011086832748850,0,0,0
1011086833767870,0,0,0
1011086834787690,0,0,0
1011086835807530,0,0,0
1011086836827390,0,0,0
1011086837847570,0,0,0
1011086838867450,0,0,0
1011086839887270,0,0,0
1011086840907470,0,0,0
1011086841927130,0,0,0
1011086842947370,0,0,0
1011086843967270,0,0,0
1011086844987510,0,0,0
